,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
39,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Southwest Pizza,Giovanni's Pizza and Pasta,92584,CA
40,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Thai Chicken Pizza,Giovanni's Pizza and Pasta,92584,CA
41,26900 Newport Rd,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Menifee,US,33.68678191,-117.1903038,8.99,8.99,Vegetarian Pizza,Giovanni's Pizza and Pasta,92584,CA
44,2111 Stewart Ave,Sandwich Place,Wausau,US,44.95747331,-89.66768203,4.99,4.99,Pizza,Philly's Subs,54401,WI
45,1707 Delaware Ave,"Asian Restaurant,Asian Restaurant Forty Acres",Wilmington,US,39.7583638,-75.5626631,12.0,12.0,Tuna Pizza,Satsuma,19806,DE
46,1707 Delaware Ave,"Asian Restaurant,Asian Restaurant Forty Acres",Wilmington,US,39.7583638,-75.5626631,12.0,12.0,Tuna Pizza,Satsuma,19806,DE
47,116 Ann St,"Family Style Restaurants,Restaurants,Restaurant",Pickens,US,34.883815999999996,-82.7078,2.99,2.99,Small Pepperoni or Cheese Pizza,Gatehouse Restaurant,29671,SC
54,2619 Red Bluff Kroger Jct,Pizza Place,Pasadena,US,29.716010999999998,-95.20057299999999,8.0,8.0,3 Meat Treat Pizza,Little Caesars Pizza,77506,TX
55,2619 Red Bluff Kroger Jct,Pizza Place,Pasadena,US,29.716010999999998,-95.20057299999999,7.0,7.0,Deep Dish Pizza,Little Caesars Pizza,77506,TX
56,2619 Red Bluff Kroger Jct,Pizza Place,Pasadena,US,29.716010999999998,-95.20057299999999,9.0,9.0,Ultimate Supreme Pizza,Little Caesars Pizza,77506,TX
57,11165 S Eastern Ave,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Henderson,US,35.98879,-115.101074,19.99,16.99,Garden Pizza,Joey's N Y Pizza,89052,NV
58,11165 S Eastern Ave,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Henderson,US,35.98879,-115.101074,18.99,15.99,Margarita Pizza,Joey's N Y Pizza,89052,NV
59,11165 S Eastern Ave,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Henderson,US,35.98879,-115.101074,21.99,17.99,Supreme Pizza,Joey's N Y Pizza,89052,NV
